case_name,google_case_id,judge,published,case_citation
Willey v. Kirkpatrick,7881015129260993679,Katzmann,1,"801 F. 3d 51 - Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Tanasi v. New Alliance Bank,7192286750421542795,Katzmann,1,"786 F. 3d 195 - Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US v. Cramer,14052297971541472784,Katzmann,1,"777 F. 3d 597 - Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Allco Finance Ltd. v. Klee,1133007952025847936,Katzmann,1,"805 F. 3d 89 - Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Espinoza ex rel. JPMorgan Chase & Co. v. Dimon,725345878589122895,Katzmann,1,"797 F. 3d 229 - Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Espinoza v. Dimon,11522172170224629767,Katzmann,1,"790 F. 3d 125 - Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Husic v. Holder,5818861486631313125,Katzmann,1,"776 F. 3d 59 - Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
MINISTERS AND MISSIONARIES BEN. BD. v. Snow,11853474355996210715,Katzmann,1,"780 F. 3d 150 - Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Espinoza ex rel. JPMorgan Chase & Co. v. Dimon,10978917447299565869,Katzmann,1,"807 F. 3d 502 - Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
"In re Lehman Bros., Inc.",12489784814304121476,Katzmann,1,"791 F. 3d 277 - Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
ALLCO FINANCE LIMITED v. Klee,9583468233068352764,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US v. Cramer,9491559379825495872,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
MINISTERS AND MISSIONARIES BENEFIT BOARD v. Snow,876206514549727948,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
"IN THE MATTER OF LEHMAN BROTHERS, INC.",17590346504654027610,Katzmann,0,"Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Vega v. Hempstead Union Free School Dist.,1786845329588449429,Katzmann,1,"801 F. 3d 72 - Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Greek v. Colvin,15494788478502262604,Katzmann,1,"802 F. 3d 370 - Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Lesterhuis v. Colvin,14756113141631409822,Katzmann,1,"805 F. 3d 83 - Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Crawford v. Cuomo,5790673315513803975,Katzmann,1,"796 F. 3d 252 - Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
"16 Casa Duse, LLC v. Merkin",256361645162148105,Katzmann,1,"791 F. 3d 247 - Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
"BAC LOCAL 2, ALBANY v. Moulton Masonry & Const.",12395667723664160335,Katzmann,1,"779 F. 3d 182 - Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
"Knife Rights, Inc. v. Vance",6125619604496976691,Katzmann,1,"802 F. 3d 377 - Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
Velazco v. Columbus Citizens Foundation,12281265570990147088,Katzmann,1,"778 F. 3d 409 - Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
In re Kingate Management Ltd. Litigation,8830924652127245318,Katzmann,1,"784 F. 3d 128 - Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
US v. Roy,4923433907486675730,Katzmann,1,"783 F. 3d 418 - Court of Appeals, 2nd Circuit, 2015 - Google Scholar"
